,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategory_penumpang
144,2021,8,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,30006,sepi penumpang (Mikrotrans)
145,2021,8,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,55148,sepi penumpang (Mikrotrans)
146,2021,8,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,32335,sepi penumpang (Mikrotrans)
147,2021,8,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,46374,sepi penumpang (Mikrotrans)
148,2021,8,Mikrotrans,JAK.43,Tongtek - Cililitan,58213,sepi penumpang (Mikrotrans)
149,2021,8,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,47589,sepi penumpang (Mikrotrans)
150,2021,8,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,32666,sepi penumpang (Mikrotrans)
151,2021,8,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,22353,sepi penumpang (Mikrotrans)
152,2021,8,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,43139,sepi penumpang (Mikrotrans)
153,2021,8,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,33889,sepi penumpang (Mikrotrans)
154,2021,8,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,37567,sepi penumpang (Mikrotrans)
155,2021,8,Mikrotrans,JAK.36,Cilangkap - Cililitan,46615,sepi penumpang (Mikrotrans)
156,2021,8,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,22681,sepi penumpang (Mikrotrans)
157,2021,8,Mikrotrans,JAK.34,Rawamangun - Klender,46147,sepi penumpang (Mikrotrans)
158,2021,8,Mikrotrans,JAK.33,Pulo Gadung - Kota,36510,sepi penumpang (Mikrotrans)
159,2021,8,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,52495,sepi penumpang (Mikrotrans)
160,2021,8,Mikrotrans,JAK.31,Blok M - Andara,42042,sepi penumpang (Mikrotrans)
161,2021,8,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,98364,sepi penumpang (Mikrotrans)
162,2021,8,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,76445,sepi penumpang (Mikrotrans)
163,2021,8,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,43060,sepi penumpang (Mikrotrans)
164,2021,8,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,26092,sepi penumpang (Mikrotrans)
165,2021,8,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,27039,sepi penumpang (Mikrotrans)
166,2021,8,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,36277,sepi penumpang (Mikrotrans)
167,2021,8,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,49233,sepi penumpang (Mikrotrans)
168,2021,8,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,13571,sepi penumpang (Mikrotrans)
169,2021,8,Mikrotrans,JAK.21,Cililitan - Dwikora,50101,sepi penumpang (Mikrotrans)
170,2021,8,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,38834,sepi penumpang (Mikrotrans)
171,2021,8,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,72845,sepi penumpang (Mikrotrans)
172,2021,8,Mikrotrans,JAK.18,Kalibata - Kuningan,21168,sepi penumpang (Mikrotrans)
173,2021,8,Mikrotrans,JAK.17,Senen - Pulo Gadung,31113,sepi penumpang (Mikrotrans)
174,2021,8,Mikrotrans,JAK.16,Cililitan - Condet,48505,sepi penumpang (Mikrotrans)
175,2021,8,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,81655,sepi penumpang (Mikrotrans)
176,2021,8,Mikrotrans,JAK.14,Tanah Abang - Meruya,51129,sepi penumpang (Mikrotrans)
177,2021,8,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,13403,sepi penumpang (Mikrotrans)
178,2021,8,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,48687,sepi penumpang (Mikrotrans)
179,2021,8,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,60534,sepi penumpang (Mikrotrans)
180,2021,8,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,37541,sepi penumpang (Mikrotrans)
181,2021,8,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,53707,sepi penumpang (Mikrotrans)
182,2021,8,Mikrotrans,JAK.10,Tanah Abang - Kota,36689,sepi penumpang (Mikrotrans)
183,2021,8,Mikrotrans,JAK.09,Roxy Mas - Karet,17927,sepi penumpang (Mikrotrans)
184,2021,8,Mikrotrans,JAK.08,Roxy - Benhil,27251,sepi penumpang (Mikrotrans)
185,2021,8,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,34491,sepi penumpang (Mikrotrans)
186,2021,8,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,45647,sepi penumpang (Mikrotrans)
187,2021,8,Mikrotrans,JAK.05,Semper - Rorotan,43302,sepi penumpang (Mikrotrans)
188,2021,8,Mikrotrans,JAK.04,Grogol - Tubagus Angke,37882,sepi penumpang (Mikrotrans)
189,2021,8,Mikrotrans,JAK.03,Lebak Bulus - Andara,24756,sepi penumpang (Mikrotrans)
190,2021,8,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,31289,sepi penumpang (Mikrotrans)
191,2021,8,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,46703,sepi penumpang (Mikrotrans)
192,2021,8,BRT,9,Pinang Ranti - Pluit,399358,sedang penumpang (brt)
193,2021,8,BRT,8,Lebak Bulus - Harmoni,248009,sedang penumpang (brt)
194,2021,8,BRT,7,Kampung Rambutan - Kampung Melayu,211537,sepi penumpang (brt)
195,2021,8,BRT,6,Ragunan - Dukuh Atas 2,194549,sepi penumpang (brt)
196,2021,8,BRT,5,Kampung Melayu - Ancol,228704,sepi penumpang (brt)
197,2021,8,BRT,4,Pulo Gadung 2 - Tosari,147131,sepi penumpang (brt)
198,2021,8,BRT,3,Kalideres - Pasar Baru,263067,sedang penumpang (brt)
199,2021,8,BRT,2,Pulo Gadung 1 - Harmoni,182122,sepi penumpang (brt)
200,2021,8,BRT,13,Ciledug - Tendean,160187,sepi penumpang (brt)
201,2021,8,BRT,12,Penjaringan - Sunter Bouleverd Barat,80348,sepi penumpang (brt)
202,2021,8,BRT,11,Pulo Gebang - Kampung Melayu,74753,sepi penumpang (brt)
203,2021,8,BRT,10,Tanjung Priok - PGC 2,213453,sepi penumpang (brt)
